x1,x2,y
0.0,0.0,-0.811687
0.0,0.00625,-0.8057314483373086
0.0,0.0125,-0.7997813895790715
0.0,0.018750000000000003,-0.7938531703285489
0.0,0.025,-0.7879085764614797
0.0,0.03125,-0.7819882905873685
0.0,0.037500000000000006,-0.7760666800831754
0.0,0.04375,-0.7701730911289169
0.0,0.05,-0.7642797264836374
0.0,0.05625,-0.7584094604739371
0.0,0.0625,-0.7525460675017104
0.0,0.06875,-0.7466897702771358
0.0,0.07500000000000001,-0.7408548223566281
0.0,0.08125,-0.7350182214350032
0.0,0.0875,-0.7291985752303205
0.0,0.09375,-0.7233630696270464
0.0,0.1,-0.7175437233923254
0.025,0.0,-0.8110494
0.025,0.00625,-0.8048237640808495
0.025,0.0125,-0.798591871239314
0.025,0.018750000000000003,-0.7924073721494955
0.025,0.025,-0.786221961923548
0.025,0.03125,-0.7800737026599937
0.025,0.037500000000000006,-0.7739385252008523
0.025,0.04375,-0.7678354015566856
0.025,0.05,-0.7617536959862988
0.025,0.05625,-0.7556901830450422
0.025,0.0625,-0.7496457695397838
0.025,0.06875,-0.7436274238336716
0.025,0.07500000000000001,-0.7376106319413481
0.025,0.08125,-0.7316177873310783
0.025,0.0875,-0.7256260630616405
0.025,0.09375,-0.7196233965244573
0.025,0.1,-0.7136346098779225
0.05,0.0,-0.8086716
0.05,0.00625,-0.8022374782093252
0.05,0.0125,-0.7958272574102356
0.05,0.018750000000000003,-0.7894596006849632
0.05,0.025,-0.7831297754223683
0.05,0.03125,-0.7768337299454273
0.05,0.037500000000000006,-0.7705658096619379
0.05,0.04375,-0.7643490125583562
0.05,0.05,-0.7581596035363917
0.05,0.05625,-0.7519936743954002
0.05,0.0625,-0.7458438463505951
0.05,0.06875,-0.7397115517753823
0.05,0.07500000000000001,-0.7335986865051811
0.05,0.08125,-0.7274943255734082
0.05,0.0875,-0.7213914298044787
0.05,0.09375,-0.715292518140885
0.05,0.1,-0.709199075652394
0.075,0.0,-0.8048812
0.075,0.00625,-0.7983479535262012
0.075,0.0125,-0.7918654852819218
0.075,0.018750000000000003,-0.7854331216213667
0.075,0.025,-0.7790444994236
0.075,0.03125,-0.7727198579082878
0.075,0.037500000000000006,-0.766413390070728
0.075,0.04375,-0.7601621124106269
0.075,0.05,-0.7539303779461979
0.075,0.05625,-0.7477241662066216
0.075,0.0625,-0.7415521737477411
0.075,0.06875,-0.7353928132257112
0.075,0.07500000000000001,-0.7292375551630931
0.075,0.08125,-0.7230941608494736
0.075,0.0875,-0.7169558479430562
